Case No,Category Name
KM-18384,Kisan Samman
KM-18876,Kisan Samman
KM-18516,Rythu Bharosa
KM-18380,Kisan Samman
KM-18173,Kisan Samman
KM-18925,Kisan Samman
KM-17661,Kisan Samman
KM-13664,Land succession
KM-13891,Issue of new PPB
KM-12611,Land Corrections
KM-18967,NREGS-Delay/Low wages
KM-18946,NREGS-Delay/Low wages
KM-18965,NREGS-Delay/Low wages
KM-18962,NREGS-Delay/Low wages
KM-18956,NREGS-Delay/Low wages
KM-18954,NREGS-Delay/Low wages
KM-18953,NREGS-Delay/Low wages
KM-18952,NREGS-Delay/Low wages
KM-18951,NREGS-Delay/Low wages
KM-18949,NREGS-Delay/Low wages
KM-18945,NREGS-Delay/Low wages
KM-14560,Seed Issues
KM-14558,Seed Issues
KM-14559,Seed Issues
KM-14555,Seed Issues
KM-14557,Seed Issues
KM-14561,Seed Issues
KM-18923,Death of Pattedar
KM-18704,Rythu Bharosa
KM-15037,Electricity connection to transformer
KM-13058,NREGS Payment
KM-13378,YSR Bheema
KM-14036,Market Issues
KM-12873,Land Corrections
KM-18934,Other
KM-13506,Land succession
KM-13050,Land Survey
KM-14016,Land Mutation - Gift land
KM-12719,Issue of Patta-Assigned land
KM-14543,Covid Help
KM-14231,Financial help
KM-13447,Financial help
KM-17454,Mission vatsalya scheme
KM-17465,ROFR-Forest patta
KM-17459,ROFR-Forest patta
KM-17460,ROFR-Forest patta
KM-17461,ROFR-Forest patta
KM-17462,ROFR-Forest patta
KM-17463,ROFR-Forest patta
KM-17464,ROFR-Forest patta
KM-17466,ROFR-Forest patta
KM-18147,Crop Loss
KM-17387,Assigned Land
KM-14725,Animal death
KM-17455,Mission vatsalya scheme
KM-13600,Issue of Patta-Assigned land
KM-18209,Land succession
KM-13314,Suicide Case
KM-17439,Land less farmer
KM-17440,Land less farmer
KM-17441,Land less farmer
KM-17443,Land less farmer
KM-17444,Land less farmer
KM-17474,Land less farmer
KM-17476,Land less farmer
KM-17477,Land less farmer
KM-17478,Land less farmer
KM-17445,Land less farmer
KM-17479,Land less farmer
KM-17481,Land less farmer
KM-17480,Land less farmer
KM-17475,Land less farmer
KM-17442,Land less farmer
KM-14650,Online Pahani
KM-15721,land issue
KM-13952,Issue of new PPB
KM-13950,Issue of new PPB
KM-13953,Issue of new PPB
KM-18819,Information
KM-18755,YSR Cheyutha
KM-18765,YSR Cheyutha
KM-18768,YSR Cheyutha
KM-18771,YSR Cheyutha
KM-18776,YSR Cheyutha
KM-18787,YSR Cheyutha
KM-18790,YSR Cheyutha
KM-18792,YSR Cheyutha
KM-18793,YSR Cheyutha
KM-18794,YSR Cheyutha
KM-18801,YSR Cheyutha
KM-18802,YSR Cheyutha
KM-18820,YSR Cheyutha
KM-18828,Information
KM-18824,Information
KM-18821,Information
KM-18818,Information
KM-18813,Information
KM-18762,Information
KM-18831,YSR Cheyutha
KM-18834,Information
KM-18836,YSR Cheyutha
KM-18841,Information
KM-18843,Information
KM-18861,Information
KM-18814,Information
KM-18795,YSR Cheyutha
KM-18901,Corrections in Personal Details
KM-18905,Land Corrections
KM-18910,Kisan Samman
KM-13205,Land Corrections
KM-13625,Land Survey
KM-13668,Input subsidy
KM-13804,YSR Jala kala
KM-14046,Land Mutation - Gift land
KM-15708,YSR Jala kala
KM-15719,YSR Jala kala
KM-15709,YSR Jala kala
KM-15718,YSR Jala kala
KM-15717,YSR Jala kala
KM-15716,YSR Jala kala
KM-15715,YSR Jala kala
KM-17185,Other Loans
KM-17636,NREGS-Delay/Low wages
KM-17648,Aasara Pensions - Old age
KM-17659,Amma vodi
KM-13745,Issue of Patta-Assigned land
KM-18164,Subsidy
KM-18451,NREGS-Delay/Low wages
KM-18603,NREGS-Delay/Low wages
KM-18604,NREGS-Delay/Low wages
KM-18605,NREGS-Delay/Low wages
KM-18606,NREGS-Delay/Low wages
KM-18607,NREGS-Delay/Low wages
KM-18715,Insurance claim
KM-17489,Crop Loss
KM-18737,YSR Jala kala
KM-13046,Animal death
KM-13781,Animal death
KM-13982,Animal death
KM-13650,Animal death
KM-18930,CCRC
KM-13637,Animal death
KM-18929,Animal shed
KM-18909,Animal shed
KM-18928,NREGS Payment
KM-18919,Kisan Samman
KM-18920,Kisan Samman
KM-18921,Kisan Samman
KM-18922,Kisan Samman
KM-18162,PMEGP issue
KM-16772,House
KM-18739,NREGS Payment
KM-18749,Farm Pond
KM-18751,YSR Cheyutha
KM-18753,YSR Cheyutha
KM-18780,Other
KM-18796,Horticulture Inputs
KM-18797,YSR Cheyutha
KM-18799,Aasara Pensions - Old age
KM-18798,NREGS-Job card
KM-18741,Crop Insurance
KM-18806,Crop Insurance
KM-18844,Information
KM-18847,Information
KM-18873,Death of Pattedar
KM-18927,NREGS Payment
KM-18926,Seed Issues
KM-18924,Land not entered in Online
KM-18161,PMEGP issue
KM-18868,Farm Pond
KM-18803,Farm Pond
KM-18805,Crop Insurance
KM-18144,Crop Insurance
KM-18900,Vidya Deevena
KM-18918,Kisan Samman
KM-18907,Horticulture Inputs
KM-18915,CCRC
KM-18914,CCRC
KM-18913,Information
KM-17431,Crop Loss
KM-18339,YSR Bheema
KM-18344,YSR Bheema
KM-18423,YSR Bheema
KM-18569,YSR Bheema
KM-18571,YSR Bheema
KM-18638,YSR Bheema
KM-18652,YSR Bheema
KM-18654,YSR Bheema
KM-18656,YSR Bheema
KM-18689,YSR Bheema
KM-18694,YSR Bheema
KM-18697,YSR Bheema
KM-18702,YSR Bheema
KM-18705,YSR Bheema
KM-18706,YSR Bheema
KM-18709,YSR Bheema
KM-18716,YSR Bheema
KM-18719,YSR Bheema
KM-18722,YSR Bheema
KM-18726,YSR Bheema
KM-18369,YSR Bheema
KM-18358,YSR Bheema
KM-18353,YSR Bheema
KM-18446,YSR Bheema
KM-18359,YSR Bheema
KM-18399,YSR Bheema
KM-18454,YSR Bheema
KM-18458,YSR Bheema
KM-18612,YSR Bheema
KM-18617,YSR Bheema
KM-18622,YSR Bheema
KM-18621,YSR Bheema
KM-18730,YSR Bheema
KM-18733,YSR Bheema
KM-18420,YSR Bheema
